WptName,GR(6),Hill Name,Height,GridZN,GridEast,GridNorth,Latitude,Longitude,Prominence,Hillnumber,Country,Type
1010.M,NH015098,Sgurr an Doire Leathain,1010,NH,01524,09889,57.13687,-5.28153,189,687,Scotland,Munro
1004.m,NH005104,Sgurr an Lochain,1004,NH,00584,10427,57.14129,-5.29747,123,690,Scotland,Munro
0989.M,NH055745,Sgurr Ban,989,NH,05581,74554,57.71854,-5.2659,165,1009,Scotland,Munro
1000.M,NH158711,Sgurr Breac,999.6,NH,15840,71107,57.69194,-5.09131,450,1042,Scotland,Munro
0999.m,NH076446,Sgurr Choinnich,999.3,NH,07625,44627,57.45103,-5.20792,133,892,Scotland,Munro
1094.M,NN227714,Sgurr Choinnich Mor,1094,NN,22771,71419,56.80043,-4.90396,159,296,Scotland,Munro
0986.M,NG444215,Sgurr Dearg-Inaccessible Pinnacle,985.8,NG,44404,21565,57.21326,-6.23482,187,1240,Scotland,Munro
0944.m,NG457205,Sgurr Dubh Mor,944.1,NG,45760,20544,57.20487,-6.21139,89,1250,Scotland,Munro
1010.M,NN230657,Sgurr Eilde Mor,1010,NN,23054,65787,56.75001,-4.89544,271,305,Scotland,Munro
1049.m,NH235437,Sgurr Fhuar-thuill,1049.2,NH,23580,43754,57.44968,-4.94178,148,886,Scotland,Munro
1069.M,NG978166,Sgurr Fhuaran,1068.8,NG,97849,16678,57.19615,-5.34765,665,815,Scotland,Munro
0948.m,NG450210,Sgurr Mhic Choinnich,948.1,NG,45020,21044,57.20894,-6.22411,56,1248,Scotland,Munro
1109.M,NH203718,Sgurr Mor,1108.9,NH,20323,71818,57.70013,-5.01677,914,1040,Scotland,Munro
1003.M,NM965980,Sgurr Mor,1003,NM,96534,98041,57.02845,-5.35421,341,733,Scotland,Munro
0965.m,NG440224,Sgurr na Banachdich (Sgurr na Banachdaich),965,NG,44046,22448,57.22097,-6.24164,114,1245,Scotland,Munro
1002.m,NG977158,Sgurr na Carnach,1002,NG,97715,15891,57.18903,-5.34922,134,827,Scotland,Munro
1040.M,NM902966,Sgurr na Ciche,1040.2,NM,90220,96686,57.01347,-5.45691,839,730,Scotland,Munro
1027.M,NG984149,Sgurr na Ciste Duibhe,1027,NG,98401,14953,57.18092,-5.33713,178,825,Scotland,Munro
0994.M,NN111517,Sgurr na h-Ulaidh (Sgor na h-Ulaidh),994,NN,11117,51794,56.6198,-5.08006,415,199,Scotland,Munro
1152.M,NH161351,Sgurr na Lapaich,1151.9,NH,16103,35125,57.36931,-5.05973,841,926,Scotland,Munro
0993.M,NH289426,Sgurr na Ruaidhe,993,NH,28900,42615,57.4415,-4.85247,226,894,Scotland,Munro
0946.M,NG946113,Sgurr na Sgine,946,NG,94614,11367,57.14709,-5.3967,247,701,Scotland,Munro
1151.M,NH057228,Sgurr nan Ceathramhnan (Sgurr nan Ceathreamhnan),1151,NH,05702,22851,57.25491,-5.22273,434,805,Scotland,Munro
1093.M,NH184714,Sgurr nan Clach Geala,1093,NH,18428,71473,57.69628,-5.04824,229,1041,Scotland,Munro
0956.M,NM902880,Sgurr nan Coireachan,956.3,NM,90290,88013,56.93573,-5.44855,231,776,Scotland,Munro
0954.M,NM933958,Sgurr nan Coireachan,953.8,NM,93308,95827,57.00716,-5.40544,221,736,Scotland,Munro
1109.M,NH129138,Sgurr nan Conbhairean,1109,NH,12988,13896,57.17762,-5.09541,382,863,Scotland,Munro
0923.m,NH184697,Sgurr nan Each,923,NH,18464,69769,57.68101,-5.04635,109,1051,Scotland,Munro
0926.m,NG457195,Sgurr nan Eag,926.3,NG,45705,19536,57.19581,-6.21126,130,1258,Scotland,Munro
0966.M,NG471252,Sgurr nan Gillean,966.1,NG,47157,25296,57.24822,-6.19316,205,1246,Scotland,Munro
0963.M,NM939879,Sgurr Thuilm,963,NM,93906,87980,56.93706,-5.38921,614,774,Scotland,Munro
0981.M,NH004690,Slioch,981,NH,00467,69073,57.66715,-5.34706,626,1010,Scotland,Munro
0996.M,NH065043,Spidean Mialach,996,NH,06592,04306,57.08896,-5.19361,257,691,Scotland,Munro
0936.M,NN222945,Sron a' Choire Ghairbh,936.2,NN,22247,94560,57.00784,-4.92875,621,758,Scotland,Munro
1105.m,NN316736,Stob a' Choire Mheadhoin,1105,NN,31651,73643,56.82368,-4.7602,140,292,Scotland,Munro
0945.M,NN257459,Stob a' Choire Odhair,945,NN,25731,45982,56.57331,-4.8383,279,255,Scotland,Munro
1000.M,NN147654,Stob Ban,999.7,NN,14777,65443,56.74371,-5.03033,237,309,Scotland,Munro
0977.M,NN266723,Stob Ban,977,NN,26669,72395,56.81066,-4.84088,174,314,Scotland,Munro
1165.M,NN434227,Stob Binnein,1165,NN,43481,22712,56.37072,-4.53575,303,27,Scotland,Munro
1177.M,NN261738,Stob Choire Claurigh,1177,NN,26196,73878,56.82379,-4.84962,446,285,Scotland,Munro
1045.M,NN169443,Stob Coir' an Albannaich,1044.9,NN,16952,44303,56.5549,-4.97981,307,241,Scotland,Munro
0981.m,NN185660,Stob Coire a' Chairn,981.3,NN,18561,66063,56.75076,-4.96899,124,313,Scotland,Munro
1116.m,NN239725,Stob Coire an Laoigh,1116,NN,23983,72532,56.81088,-4.88491,74,289,Scotland,Munro
1115.M,NN308730,Stob Coire Easain,1115,NN,30802,73066,56.8182,-4.77371,611,290,Scotland,Munro
1072.m,NN154536,Stob Coire Sgreamhach,1072,NN,15487,53664,56.63831,-5.01028,128,194,Scotland,Munro
0979.m,NN356743,Stob Coire Sgriodain,979,NN,35668,74381,56.83174,-4.69493,90,356,Scotland,Munro
0999.m,NN094308,Stob Daimh (Stob Diamh),999.2,NN,09482,30859,56.43134,-5.09132,134,244,Scotland,Munro
1089.M,NN230455,Stob Ghabhar,1089.2,NN,23017,45515,56.5681,-4.8821,392,237,Scotland,Munro
1054.m,NN428888,Stob Poite Coire Ardair,1054,NN,42884,88845,56.96404,-4.58576,109,662,Scotland,Munro
0973.M,NN617174,Stuc a' Chroin,973,NN,61746,17465,56.32932,-4.23753,252,18,Scotland,Munro
0960.M,NN483448,Stuc an Lochain (Stuchd an Lochain),960,NN,48305,44840,56.57091,-4.4706,482,120,Scotland,Munro
0933.m,NO134773,The Cairnwell,933,NO,13486,77360,56.87952,-3.4212,127,435,Scotland,Munro
1007.m,NN976951,The Devil's Point,1006.9,NN,97609,95115,57.03571,-3.6888,90.6,575,Scotland,Munro
1012.M,NG936131,The Saddle,1011.5,NG,93610,13124,57.1624,-5.41472,334,688,Scotland,Munro
